,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_4,PAY_5,PAY_6,Previous_payments,Target
0,20000.0,2,2,1,24,2,2,-1,-2,-2,689.0,1
1,120000.0,2,2,2,26,-1,2,0,0,2,5000.0,1
2,90000.0,2,2,2,34,0,0,0,0,0,11018.0,0
3,50000.0,2,2,1,37,0,0,0,0,0,8388.0,0
4,50000.0,1,2,1,57,-1,0,0,0,0,59049.0,0
5,50000.0,1,1,2,37,0,0,0,0,0,7772.0,0
6,500000.0,1,1,2,29,0,0,0,0,0,180759.0,0
7,100000.0,2,2,2,23,0,-1,0,0,-1,4791.0,0
8,140000.0,2,3,1,28,0,0,0,0,0,6761.0,0
9,20000.0,1,3,2,35,-2,-2,-2,-1,-1,14129.0,0
10,200000.0,2,3,2,34,0,0,0,0,-1,6472.0,0
11,260000.0,2,1,2,51,-1,-1,-1,-1,2,66308.0,0
12,630000.0,2,2,2,41,-1,0,-1,-1,-1,23370.0,0
13,70000.0,1,2,2,30,1,2,0,0,2,10700.0,1
14,250000.0,1,1,2,29,0,0,0,0,0,18000.0,0
15,50000.0,2,3,3,23,1,2,0,0,0,6200.0,0
16,20000.0,1,1,2,24,0,0,2,2,2,6350.0,1
17,320000.0,1,1,1,49,0,0,-1,-1,-1,361897.0,0
18,360000.0,2,1,1,49,1,-2,-2,-2,-2,0.0,0
19,180000.0,2,1,2,29,1,-2,-2,-2,-2,0.0,0
20,130000.0,2,3,2,39,0,0,0,0,-1,42231.0,0
21,120000.0,2,2,1,39,-1,-1,-1,-1,-1,1580.0,1
22,70000.0,2,2,2,26,2,0,2,2,2,11010.0,1
23,450000.0,2,1,1,40,-2,-2,-2,-2,-2,22589.0,1
24,90000.0,1,1,2,23,0,0,-1,0,0,16400.0,0
25,50000.0,1,3,2,23,0,0,0,0,0,7891.0,0
26,60000.0,1,1,2,27,1,-2,-1,-1,-1,2500.0,1
27,50000.0,2,3,2,30,0,0,0,0,0,7112.0,0
28,50000.0,2,3,1,47,-1,-1,-1,-1,-1,39567.0,0
29,50000.0,1,1,2,26,0,0,0,0,0,6600.0,0
30,230000.0,2,1,2,27,-1,-1,-1,-1,-1,97489.0,0
31,50000.0,1,2,2,33,2,0,0,0,0,6934.0,1
32,100000.0,1,1,2,32,0,0,0,0,0,18744.0,0
33,500000.0,2,2,1,54,-2,-2,-2,-2,-2,158502.0,0
34,500000.0,1,1,1,58,-2,-2,-2,-2,-2,45425.0,0
35,160000.0,1,1,2,30,-1,-1,-2,-2,-1,2280.0,0
36,280000.0,1,2,1,40,0,0,0,0,0,41923.0,0
37,60000.0,2,2,2,22,0,0,0,0,-1,53349.0,0
38,50000.0,1,1,2,25,1,-1,-2,-2,-2,780.0,1
39,280000.0,1,1,2,31,-1,-1,-1,0,-1,37357.0,0
40,360000.0,1,1,2,33,0,0,0,0,0,243840.0,0
41,70000.0,2,1,2,25,0,0,0,0,0,19342.0,0
